wavelength_nm,E_direct_W_m2_um,E_diffuse_W_m2_um
400,53.12830691142334,38.138443927629275
401,56.9634088219417,40.602217016419715
402,59.70786671621461,42.259815535512246
403,61.38210675845158,43.142193343034805
404,62.11128922124669,43.35265313936228
405,62.130048877086914,43.06770000820527
406,61.771251184690215,42.52667263832103
407,61.340819114827234,41.94390476912234
408,61.00731296067959,41.43463485285381
409,60.85802970141659,41.056298029082164
410,61.03035220892952,40.89845902450362
411,61.69002048733162,41.06713670444403
412,62.86017179285568,41.57111425231683
413,64.34028659004477,42.27194524048528
414,65.80945786157963,42.9563138816092
415,66.97709466805595,43.43627993267469
416,67.68381750537563,43.61339960762473
417,67.961307627033,43.51400317800751
418,68.01364216001802,43.273213168509905
419,68.0772587622248,43.04294079660432
420,68.26285736040307,42.89205838469896
421,68.53753793680993,42.797960530007316
422,68.83291158358917,42.71686550934985
423,69.1022725788382,42.62023521772374
424,69.24351808641293,42.44706575049891
425,69.02448681213173,42.05849594473304
426,68.17301314418134,41.29361182909971
427,66.60578895216145,40.107841314974586
428,64.63192156609912,38.69240629105743
429,62.965161214496234,37.475578715274004
430,62.42979919572246,36.94172907516115
431,63.44142345994845,37.32376667657113
432,65.68003319246233,38.41889528126364
433,68.34610423606769,39.74999849322473
434,70.76329931181294,40.9220688566754
435,72.67734460605928,41.79173918078841
436,74.08100615790588,42.35996055176287
437,75.02284572313977,42.65903681134486
438,75.67506523387813,42.790130726484165
439,76.38522669888648,42.950706414617294
440,77.46011769076712,43.31137889107505
441,78.88816415444117,43.86267047354353
442,80.34178103686385,44.42152736339715
443,81.49291875093401,44.80934631349439
444,82.35027663832243,45.03538794525742
445,83.28511150678264,45.304993288589934
446,84.69752765014579,45.833821974354905
447,86.6499062709325,46.65066930424918
448,88.82476653128599,47.57997986915047
449,90.78146539133569,48.384017028802255
450,92.20935324779751,48.89891784467122
451,93.02966899573867,49.086832160884185
452,93.40219286459443,49.03635357378444
453,93.63591918506104,48.91264582870271
454,93.9809592700719,48.847205870896154
455,94.45540303034159,48.84894771148902
456,94.9026884007764,48.83660146718544
457,95.23014501128098,48.76303676911281
458,95.55765839586974,48.69023969685729
459,96.09933968174049,48.72675175063335
460,96.91747454066699,48.902423634173
461,97.84050309850686,49.12909089816808
462,98.623655164307,49.28364118875905
463,99.14783238739945,49.30775476058467
464,99.46046618773177,49.22656911657491
465,99.67602199840938,49.09763059994676
466,99.87308599263223,48.959668476577704
467,100.07257533426402,48.82257750210828
468,100.27918229240618,48.68850010896924
469,100.52142423162928,48.571460206816724
470,100.84881112907841,48.495429953333534
471,101.29102867713534,48.47407064866381
472,101.82002354963474,48.492711754367235
473,102.3580012205215,48.51322385079365
474,102.81849351882919,48.49487945260855
475,103.12662668815163,48.40486844502027
476,103.22279000795558,48.21998579437837
477,103.10497609611839,47.94488980329009
478,102.88587832667152,47.635750493101305
479,102.7545190552986,47.37986304061869
480,102.81781472247044,47.222452726777654
481,102.96489050905382,47.107062656878504
482,102.89757075827889,46.89323729084156
483,102.3029487725032,46.43769100168831
484,101.0560972385273,45.68638649999212
485,99.37916329382855,44.743938258867495
486,97.85971472542283,43.877646339480485
487,97.19637437686377,43.39972441356947
488,97.74419957065128,43.46394857087906
489,99.24185902101166,43.94826197589709
490,101.03260244923167,44.55803280330721
491,102.58510324441926,45.05832574515197
492,103.78500925859085,45.400233629350645
493,104.76006597236956,45.64109015935213
494,105.54127625754695,45.79546331812587
495,105.95836455795396,45.79080642800671
496,105.80302971068917,45.53925604339638
